sample_name	sample_cells	total_t_cells	fraction_productive_of_cells	total_rearrangements	productive_rearrangements	productive_clonality	max_productive_frequency	locus	sample_tags	sample_clonality	sample_entropy	productive_entropy	sample_cells_mass_estimate
5441B	160922	4658	0.028943	3362	2675	0.0992	3.933991	TCRB	FFPE, Ovary, Tissue, Tumor	0.1090	10.4377	10.2557	no data
3935B3	152029	3561	0.023421	1744	1463	0.1530	2.899078	TCRB	FFPE, Ovary, Tissue, Tumor	0.1467	9.1887	8.9061	no data
5244A	152606	124737	0.817377	86849	70923	0.0875	0.720590	TCRB	FFPE, Ovary, Tissue, Tumor	0.0870	14.9781	14.7044	no data
9883B	305795	19695	0.064407	8045	6386	0.1685	4.175322	TCRB	FFPE, Ovary, Tissue, Tumor	0.1849	10.5754	10.5112	no data
4997B	169189	14812	0.087546	4944	4268	0.1771	3.955935	TCRB	FFPE, Ovary, Tissue, Tumor	0.1747	10.1278	9.9237	no data
1941B	141502	4126	0.029160	2940	2442	0.1794	8.247315	TCRB	FFPE, Ovary, Tissue, Tumor	0.1711	9.5503	9.2344	no data
2220B	221021	4447	0.020122	2155	1767	0.1356	2.669428	TCRB	FFPE, Ovary, Tissue, Tumor	0.1256	9.6824	9.3242	no data
6986B	125065	775	0.006195	638	481	0.1019	7.001083	TCRB	FFPE, Ovary, Tissue, Tumor	0.0958	8.4252	8.0018	no data
2568B	198151	35781	0.180573	8418	6919	0.2912	10.481823	TCRB	FFPE, Ovary, Tissue, Tumor	0.2712	9.5029	9.0414	no data
3935B1	135309	7068	0.052236	4920	4149	0.1286	2.493544	TCRB	FFPE, Ovary, Tissue, Tumor	0.1202	10.7901	10.4728	no data
0481B	150147	3591	0.023917	1887	1607	0.1666	12.123279	TCRB	FFPE, Ovary, Tissue, Tumor	0.1527	9.2198	8.8762	no data
7678B	151607	1935	0.012766	862	695	0.2000	18.848585	TCRB	FFPE, Ovary, Tissue, Tumor	0.2813	7.0086	7.5530	no data
7858A	150419	14260	0.094799	4220	3312	0.3689	29.597840	TCRB	FFPE, Ovary, Tissue, Tumor	0.3316	8.0498	7.3800	no data
2945B	290479	14871	0.051195	7086	5855	0.2271	8.481760	TCRB	FFPE, Ovary, Tissue, Tumor	0.2138	10.0555	9.6733	no data
6229B	159365	7041	0.044180	4158	3331	0.1276	1.980964	TCRB	FFPE, Ovary, Tissue, Tumor	0.1202	10.5771	10.2089	no data
3582B	65576	1408	0.021467	941	786	0.1627	8.446160	TCRB	FFPE, Ovary, Tissue, Tumor	0.1483	8.4130	8.0532	no data
4160B	262894	3995	0.015197	2203	1715	0.1436	7.585333	TCRB	FFPE, Ovary, Tissue, Tumor	0.1279	9.6850	9.2013	no data
3935A	75428	3616	0.047945	1746	1486	0.1933	13.107003	TCRB	FFPE, Ovary, Tissue, Tumor	0.1842	8.7862	8.4999	no data
7765A	20689	4250	0.205409	2828	2337	0.0843	2.370200	TCRB	FFPE, Tissue	0.0780	10.5711	10.2475	no data
9347A	120616	4022	0.033343	2393	1899	0.1043	1.669484	TCRB	FFPE, Tissue	0.1020	10.0801	9.7549	no data
9347B	64268	6478	0.100789	3613	2860	0.1554	4.753980	TCRB	FFPE, Tissue	0.1601	9.9265	9.6975	no data
0762A	1720	121	0.070364	154	118	0.0480	5.282810	TCRB	FFPE, Tissue	0.0420	6.9615	6.5524	no data
2131M	15857	2524	0.159172	1993	1561	0.1004	5.543821	TCRB	FFPE, Tissue	0.1216	9.6277	9.5436	no data
2585B	16628	9337	0.561495	4316	3572	0.1789	5.874739	TCRB	FFPE, Tissue	0.1645	10.0889	9.6906	no data
4240A	68422	3425	0.050054	1375	1119	0.2075	7.180950	TCRB	FFPE, Tissue	0.1872	8.4731	8.0266	no data
8674A	61582	4767	0.077413	1693	1412	0.1725	3.728325	TCRB	FFPE, Tissue	0.1672	8.9322	8.6586	no data
3114B	13174	2041	0.154956	1132	867	0.2117	9.885864	TCRB	FFPE, Tissue	0.1880	8.2377	7.6936	no data
5660A	479	120	0.250574	128	98	0.0535	6.122823	TCRB	FFPE, Tissue	0.0522	6.6344	6.2610	no data
0371B	67829	17614	0.259682	9831	8337	0.1182	2.453596	TCRB	FFPE, Tissue	0.1154	11.7328	11.4858	no data
2703A	4888	221	0.045256	252	207	0.0464	2.828558	TCRB	FFPE, Tissue	0.0474	7.5994	7.3367	no data
7362A	3645	542	0.148827	503	407	0.0682	2.623041	TCRB	FFPE, Tissue	0.0712	8.3351	8.0777	no data
2703B	74454	20049	0.269276	11742	9522	0.1209	2.681842	TCRB	FFPE, Tissue	0.1203	11.8924	11.6190	no data
6965A	45439	19319	0.425162	13288	10865	0.1003	3.227312	TCRB	FFPE, Tissue	0.0991	12.3410	12.0623	no data
0564B	50485	5706	0.113016	3771	3068	0.1270	3.458988	TCRB	FFPE, Tissue	0.1137	10.5302	10.1124	no data
4240B	12740	1457	0.114376	708	592	0.1659	5.989217	TCRB	FFPE, Tissue	0.1596	7.9566	7.6812	no data
0371A	18147	10527	0.580100	7693	6605	0.0959	1.379129	TCRB	FFPE, Tissue	0.0944	11.6908	11.4721	no data
0762B	16956	3881	0.228913	2726	2280	0.0938	2.615927	TCRB	FFPE, Tissue	0.0923	10.3594	10.1090	no data
8674B	40253	5381	0.133686	2543	2112	0.1662	3.646363	TCRB	FFPE, Tissue	0.1554	9.5544	9.2086	no data
2359B	75331	2821	0.037444	1388	1137	0.1759	5.906165	TCRB	FFPE, Tissue	0.1643	8.7232	8.3652	no data
2585A	2192	110	0.050251	119	89	0.0547	5.905882	TCRB	FFPE, Tissue	0.0501	6.5496	6.1218	no data
9717A	71895	576	0.008005	475	384	0.0912	7.107946	TCRB	FFPE, Tissue	0.0986	8.0147	7.8024	no data
0824A	36051	10548	0.292587	5168	4180	0.1228	4.260257	TCRB	FFPE, Tissue	0.1299	10.7326	10.5517	no data
6902A	115	4	0.035437	4	1	no data	100.000000	TCRB	FFPE, Tissue	0.0115	1.9770	no data	no data
3114A	4602	254	0.055188	224	175	0.0677	4.178755	TCRB	FFPE, Tissue	0.0688	7.2702	6.9467	no data
6965B	239739	92221	0.384672	40388	33058	0.1109	1.226583	TCRB	FFPE, Tissue	0.1120	13.5875	13.3477	no data
7626B	167007	22841	0.136767	8954	7302	0.1460	2.196891	TCRB	FFPE, Tissue	0.1397	11.2938	10.9605	no data
0564A	194862	22204	0.113945	11986	9902	0.1156	1.636839	TCRB	FFPE, Tissue	0.1108	12.0480	11.7393	no data
5660B	88726	26980	0.304087	9722	7929	0.1908	4.708435	TCRB	FFPE, Tissue	0.2065	10.5119	10.4814	no data
7362B	168839	37689	0.223223	9390	7603	0.2360	7.420111	TCRB	FFPE, Tissue	0.2208	10.2825	9.8495	no data
9717B	180708	8454	0.046783	2266	1893	0.1470	3.820039	TCRB	FFPE, Tissue	0.1546	9.4228	9.2863	no data
0824B	89694	25432	0.283538	7471	6106	0.1635	3.223377	TCRB	FFPE, Tissue	0.1605	10.8017	10.5202	no data
3368A	22028	219	0.009940	161	120	0.1021	6.129940	TCRB	FFPE, Tissue	0.0899	6.6720	6.2017	no data
7626A	269053	9860	0.036646	3881	3201	0.1185	1.129827	TCRB	FFPE, Tissue	0.1141	10.5617	10.2643	no data
3368B	224241	12946	0.057733	5949	4890	0.1804	4.905485	TCRB	FFPE, Tissue	0.1781	10.3058	10.0446	no data
7765B	172936	31477	0.182017	9378	7633	0.1855	5.008542	TCRB	FFPE, Tissue	0.1834	10.7751	10.5052	no data
