	B_cells	Cytotoxic_cells	Dendritic_cells	Endothelial	Eosinophils	Fibroblasts	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Monocytes	NK_cells	Neutrophils	Plasma_cells	T_cells_CD4	T_cells_CD8	T_cells_gamma_delta	T_regulatory_cells	TCR_post_pre
A01	0.25447672252832604	0.16012390931812803	0.234120230763852	0.14187053153029	-0.10418995030167699	0.0924194450908062	0.26701124407882104	0.17208992348877603	0.18144784550369397	0.0219261589457286	0.230487793995051	-0.0204152297618994	0.109183131727065	0.326881563351515	-0.151260300622609	-0.12458820989729902	-0.12105553052155199	-0.171316736907559	0.8212164723775796
A03	0.328433752870533	0.25078253049381194	0.358289903507062	0.35977859308897703	0.11827621036194401	0.304250474163323	0.409126544562044	0.295065769912361	0.32106690205098903	0.0410392978999701	0.385861737183858	0.0202086653447733	0.30131357472197196	0.484967578713409	0.15489972055652698	0.0989960746467029	0.020994882974121002	0.12494435680197999	0.30162731515940167
A05	0.15844625825089903	0.149996720697013	0.096654911894513	-0.0389338133256368	-0.136141994286991	0.034148503729217	0.230793066284101	0.12738064544143798	0.204350217005723	-0.153833683677097	0.20067470752352104	-0.0973189646459193	0.26477669374683604	0.25342796040882504	-0.21209991133027498	-0.16972010297123302	-0.18042407652081102	-0.28792353245756397	0.688710425558985
A07	0.15361592307825303	0.183015171486575	0.18651974321844803	-0.0231795809522432	0.0223355643968448	0.27570475067325106	0.32021053905242797	0.136686201944384	0.27916259858476195	0.169579930728733	0.25846132599060895	-0.07103513699677401	0.33568476835884603	0.33476999852773903	-0.14626063719407	-0.16726861223754003	-0.143998891850776	-0.345461806212681	-0.05367597978254922
A11	0.19809171253193503	0.00847304949239222	0.18175939866301302	0.18569090925176698	-0.0866862152015186	0.276656518154196	0.22902970471102105	0.269936979877756	0.19330537495007602	-0.16356791301826	0.173407547281259	-0.148873407233749	0.240455474129814	0.45575326588678294	-0.17500666143354798	-0.11661654982703999	-0.111397958160525	-0.212149223864258	0.13568709915884947
B02	0.240226271660138	0.0416513856271448	0.196042788385478	0.132192142903117	-0.036726012470142996	0.261495483821625	0.329690379010472	0.26481372861261604	0.26256803970805703	0.11898768362372199	0.24656746489651002	-0.11443601677504199	0.283523973452862	0.33838522318230396	-0.160998662213191	-0.10924457610793	-0.10747554157492699	-0.298363800264487	1.1378146505660833
B04	0.283903525539539	0.29739251696629404	0.411542290191904	0.32445656806908696	0.23703105184103002	0.16866139721224901	0.40245528703816996	0.365053502885164	0.4139615450150821	0.11777950165601199	0.364724814719747	0.0914719331183599	0.37170444666401403	0.5847198576607571	0.0923934207426553	0.128286067936519	0.0769715056082865	0.189382308069155	0.14493775954952917
B06	0.13584044883133198	-0.0604710101978326	0.13645580429064	-0.0133499506686801	-0.0662335611051095	-0.0345001927270713	0.331168354113342	0.235828425787827	0.179098532151897	-0.014474365777901002	0.21860060701385398	-0.17431637056332303	0.191089723844443	0.170369139890895	-0.20636330563554398	-0.20507770041005802	-0.20014783497664898	-0.35279680889233594	0.5752473458879445
