	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03
Macrophages M2	0.1334	0.1438	0.0538	0.0718	0.1055	0.0176	0.0477	0.1067	0.0277	0	0.0165	0.0929	0.1278	0.0921	0.1439	0.1036	0.116	0.1345	0.1072	0.1632	0.111	0.1087	0.1096	0.1113	0.1927	0.1507	0.0808	0.1167	0.1144	0.0891	0.0819	0.1122	0.0433	0.1158	0.209	0.1369	0.1361	0.1093
Mast cells	0	0	0	0	0.0123	0.0226	0.0326	0.0116	0	0.0091	0.0114	0	0	0.0451	0.0334	0.0323	0.0148	0.0182	0.024	0.0242	0.0149	0.0119	0.0467	0.0137	0.0119	0.0119	0	0.0199	0	0.0015	0.0043	0.0038	0	0.004	0	0	0	0
Megakaryocytes	0.0184	0.1072	0.1306	0.0678	0.0681	0.0557	0.0619	0.0348	0	0.0197	0.1037	0	0.0325	0.0389	0.1003	0.1123	0.0872	0.1641	0.058	0.0406	0.0601	0.0435	0.0281	0	0.0071	0.1028	0.0889	0	0.0208	0.0982	0.1257	0	0.0503	0.0772	0.0538	0.0688	0.0393	0.0267
Melanocytes	0.0466	0.045	0.0445	0.0235	0.0472	0.0273	0.04	0.0678	0.0664	0.031	0.0455	0.0574	0	0.0199	0	0	0.0261	0.0285	0.009	0.0557	0.0622	0.0622	0.0681	0.0616	0.0281	0.0524	0.0381	0.0491	0.0585	0.0207	0.052	0.0641	0.026	0.0162	0.0119	0.0265	0.0076	0.0035
Memory B-cells	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0.0434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0407	0	0	0.0018	0
Mesangial cells	0	0	0	0	0	0.0299	0	0	0	0	0	0	0.0392	0.0563	0.0626	0.054	0.0739	0.0473	0.0568	0.0364	0.023	0	0.0254	0	0.0303	0.02	0	0	0.0975	0.064	0.0768	0.0931	0.1088	0.0792	0.0425	0.048	0.0402	0.0397
Monocytes	0.0093	0.0173	0.0459	0.0019	0.0387	0.0159	0.0149	0.0157	0.0433	0	0.0371	0	0	0	0	0	0.0225	0.0355	0.0254	0	0.0566	0.011	0.0723	0.0497	0	0.0292	0.0529	0.0339	0.0452	0.0963	0.0861	0.0771	0	0.0467	0.0121	0.0951	0.0912	0.0172
Myocytes	0.0209	0	0.0215	0	0.0078	0.0296	0.0159	0.0242	0	0.0315	0	0	0.0316	0.0317	0	0	0	0	0	0.0182	0.0118	0.0255	0.0107	0	0.0011	0	0	0	0.0176	0	0	0	0.0136	0	0	0.0153	0	0
NK cells	0.01	0	0	0	0	0.0596	0.0395	0.0671	0	0.0497	0.0351	0	0	0.0322	0	0	0	0.0048	0.0452	0.0063	0	0.0179	5e-04	0.0015	0	0	0	0.0615	0	0	0	0	0	0	0	0	0	0
NKT	0.2285	0.0681	0.0706	0.1548	0.1543	0.2338	0.1168	0.1918	0.1034	0.1288	0.0659	0.3836	0.2518	0.0033	0.1037	0.1378	0.1103	0.1713	0.1962	0.1693	0.159	0.1436	0.0156	0.1919	0.2435	0.3386	0.0153	0	0.2937	0.1895	0.1802	0.3207	0.2472	0.0393	0.2152	0.1304	0.2156	0.1722
Neurons	0.044	0.0288	0.0388	0.034	0.0453	0.0344	0.0344	0.0441	0.046	0.0524	0.0286	0.0355	0.0438	0.0377	0	0.0096	0	0.0199	0	0.0213	0.0415	0.052	0.0431	0.0346	0.0244	0.0667	0.0287	0.0315	0.0431	0.0496	0.0542	0.0383	0.0441	0.03	0.0122	0.0241	0.0236	0.0384
Neutrophils	0.1273	0.114	0.1462	0.0649	0.0562	0.0918	0.0135	0.049	0.0721	0	0.065	0.0617	0.0027	0.0428	0.0537	0.0138	0.0787	0.1182	0.0746	0.0484	0.0161	0.0442	0.0013	0.0934	0.0721	0.0858	0.0611	0.0609	0.0417	0.0518	0.0262	0.1199	0.0481	0.0614	0.0457	0.0907	0.0737	0.0341
Osteoblast	0.0455	0	0.0144	0	0.0334	0.0596	0.1195	0.0829	0.2859	0.1003	0	0	0.1109	0	0	0	0	0	0	0	0.0527	0.0763	0.0254	0	0	0	0	0	0.1023	0	0	0.1188	0	0	0.2231	0.1488	0.1802	0.2482
