	LeukocyteMeth_score	B.cells	CD45	CD8.T.cells	Cytotoxic.cells	DC	Exhausted.CD8	Macrophages	Mast.cells	Neutrophils	NK.CD56dim.cells	NK.cells	T.cells	Th1.cells	Treg
TCGA.04.1348.01	0.150948736257642	-0.21377186832482997	0.23783326280152303	0.0385739895799222	-0.00414024371459072	-0.1367342932382	-0.0624593173910347	0.210534776224906	-0.307144533787052	-0.188506669090125	-0.23634218309795998	-0.204308010005599	-0.0436400292800472	-0.183135844265764	-0.0273487092678798
TCGA.04.1357.01	0.26794368108652	-0.0894043644327792	0.422714769360982	0.23643827492164604	0.0728170382142696	-0.147556213441856	0.03239465623739	0.231139941666837	-0.317968240081876	-0.16021785876108802	-0.21904398525701002	-0.16688235442258897	0.0978411126311668	-0.10876005078290302	-0.0315806178586543
TCGA.04.1362.01	0.0840705134191117	-0.34364184829954403	0.00661235717308506	-0.22610982015218697	-0.20904969947691698	-0.23215490006827696	-0.20919984869588398	0.0509568018153386	-0.33568274388737396	-0.212185600393412	-0.36360905344232397	-0.31252118048917105	-0.23293336456809602	-0.319826491747778	-0.0990266610241219
TCGA.04.1364.01	0.0334651133520436	-0.189343897499381	-0.248201438848921	-0.239439128100745	-0.334968311822033	-0.263151325965309	-0.310653968388169	-0.18772266270813398	-0.386647315447068	-0.322937538012658	-0.45043377063055395	-0.291941741504581	-0.313260324495904	-0.528988573846805	-0.216356326703343
TCGA.04.1365.01	0.14147110021652498	-0.231293103184501	0.175730004231909	-0.021700596268418	-0.037648484921261	-0.18063379416051398	-0.037813167828422	0.163544527074684	-0.33905061615895504	-0.14589228342358498	-0.258236493691144	-0.259059895448434	-0.0497371429504202	-0.199904782056708	-0.0784490055014812
TCGA.04.1514.01	0.0377776599134639	-0.28738392939610397	-0.20688743123148498	-0.222938326509205	-0.33872674826756105	-0.22491118698934398	-0.252138610458799	-0.15722744297612498	-0.38721974210813	-0.31221327989695197	-0.435758678925572	-0.42595669334099395	-0.319913522436857	-0.352041895895049	-0.19107067287346602
TCGA.04.1519.01	0.0203532219944987	-0.22001404892806697	-0.16530892932712699	-0.253901444711644	-0.252317827713812	-0.19925903204419002	-0.24434951986464898	-0.0798177539460811	-0.35912331013174104	-0.251126008001001	-0.398964269565345	-0.34797742765605605	-0.264807757550646	-0.37880871773169705	-0.20191493863732501
TCGA.09.0364.01	0.0555369859994129	-0.348037937015956	-0.23968472280998698	-0.264993199267715	-0.366248017542867	-0.216825392745725	-0.286136751091465	-0.111673817701941	-0.4646405619701529	-0.33003301307828997	-0.449944384357956	-0.30819570306005606	-0.405462657449499	-0.528406686415573	-0.22788827761320396
TCGA.09.0366.01	0.27303013571808105	-0.33877467940663203	0.316969953449005	-0.14371555432823402	-0.166910938053376	-0.23532651343657002	-0.0506106169763463	0.310734617136291	-0.28147825644513896	-0.00409956860496509	-0.28373960384957103	-0.276847879887321	-0.22154492937092102	-0.268250105797715	-0.17816335167160396
TCGA.09.0367.01	0.0758041481906226	-0.208442485905252	0.0213711383834109	-0.141636181863962	-0.0774637350458276	-0.18087145905111202	-0.19826118321256897	0.0712432175278937	-0.28543892676200106	-0.172033967797529	-0.31017879632836	-0.203174681171216	-0.1787499053407	-0.272323317816335	-0.210696148963182
TCGA.09.0369.01	0.101152951405166	-0.272413221198325	-0.0815171392297926	-0.19435339917347896	-0.25304149557192	-0.118501314311468	-0.236357628655019	0.112582498238346	-0.293359086196523	-0.23004753383145002	-0.373954796034253	-0.3549225297564121	-0.276550226991024	-0.305173508252222	-0.22603681760474
TCGA.09.1659.01	0.0593200844921141	-0.18770409161196303	0.0681337283114685	-0.133155313989195	-0.08898838876439098	-0.155297489420802	-0.13566119201505	0.10374459688721901	-0.32326617642470196	-0.17280675783221	-0.320445212873164	-0.246556904010483	-0.18737450657973997	-0.242911553110453	-0.186521371138383
TCGA.09.1662.01	0.13973843903891	-0.19777534585263898	0.261267456622937	-0.137604393137678	-0.0661075058194407	-0.16024845276674402	-0.148207790993597	0.22491890104551798	-0.276804526869891	-0.113653686006118	-0.277866817972794	-0.204091846494999	-0.142635702797837	-0.219265763859501	-0.16869445619974602
TCGA.09.1666.01	0.0849440909039758	-0.22679336752839302	0.225666525603047	-0.0770926772278547	-0.11860651347252801	-0.132139145932574	-0.10079003547124199	0.168359401369364	-0.266387616597897	-0.21587537787914302	-0.316862014060298	-0.272511795260275	-0.125933525418587	-0.219530258146424	-0.127803639441388
TCGA.09.1667.01	0.11127309420099002	-0.19477303427604	0.233707151925518	-0.0547594460661032	-0.0035694062419832705	-0.067854868191469	-0.0869239723706305	0.21198655375431003	-0.210121353235745	-0.169259184872058	-0.22201335456277801	-0.232821404250466	-0.0772049204019502	-0.19921709691070702	-0.0813584426576386
TCGA.09.1668.01	0.141491751220325	-0.18237471927956303	0.246773169699535	-0.0677163385259122	-0.0670074726424081	-0.11295403618756099	-0.0982545212571157	0.1502071889295	-0.21800253342475	-0.21739072961586497	-0.23981144090093803	-0.23997046486487103	-0.097314626671998	-0.213922979263648	-0.0120080406263225
TCGA.09.1669.01	0.0825202795838479	-0.133421877979517	0.14742911553110502	0.0025470540643533802	-0.135798163238363	-0.10922784783315301	-0.138196734223927	0.104310625975265	-0.33124224323860196	-0.23404696169965	-0.296362090167728	-0.230317280966251	-0.0970798996108859	-0.23608760050782895	-0.12441811256876899
TCGA.09.1670.01	0.111348083064122	-0.31596765057619397	0.20588235294117604	-0.178884526188664	-0.203148459792142	-0.188522671302427	-0.17071208839135502	0.19347804915874803	-0.31141787289414	-0.143120798780383	-0.38604637069530395	-0.271007587541052	-0.214245371167849	-0.287134997884046	-0.167742276766822
TCGA.09.1673.01	0.0456094771497273	-0.283152047868195	0.0411553110452814	-0.21184758417559899	-0.217159440021501	-0.12171402877745802	-0.12035976103087699	0.130502451083852	-0.240024122968183	-0.209229591692747	-0.37113634031317705	-0.296432170970687	-0.232901688548114	-0.289832839610664	-0.295598815065595
TCGA.09.1674.01	0.0387961014989242	-0.223174206965072	-0.200063478628862	-0.22168205244790196	-0.331366251566658	-0.242922385669268	-0.24201944895645802	-0.145091767352008	-0.306802875230345	-0.31110687396540304	-0.44058416597469	-0.307628888911128	-0.312113335858355	-0.43636267456622896	-0.226777401608125
TCGA.09.2044.01	0.136226438968971	-0.116743658602717	0.19969318662716898	-0.07179832080661	-0.170869274745216	-0.133822150713786	-0.0922995924027672	0.24133350389700897	-0.282619888067204	-0.0679528276443486	-0.321210883281729	-0.297348444275276	-0.145216350869866	-0.248042742276767	-0.0933664832839611
TCGA.09.2045.01	0.0785829786654475	-0.29580295329842893	0.048666948793906	-0.15810598778289497	-0.19493770612402897	-0.234812306319899	-0.15354402409107998	0.119089862128846	-0.269116709036316	-0.17697093148540802	-0.360600069706335	-0.34904918264244505	-0.224088493929543	-0.314007617435463	-0.14568345323741
TCGA.09.2048.01	0.0785481583050441	-0.339141367630072	-0.0724185357596276	-0.258736853582323	-0.25970057979322797	-0.199183951910414	-0.206570029210224	-0.0423709388950116	-0.289221079318407	-0.267467813676939	-0.42005114326962895	-0.21085272741123698	-0.27516989785010304	-0.40065594583157005	-0.26740372407956
TCGA.09.2051.01	0.130182408150839	-0.19944479026205	0.115160812526449	-0.155431514720301	-0.0875843246025352	-0.15903111611562398	-0.0945337050300639	0.17600880264224106	-0.295165573497589	-0.19666317870900601	-0.29095392188644603	-0.208260461275971	-0.18358476287038897	-0.23661658908167604	-0.1191282268303
TCGA.09.2054.01	0.0814079756005146	-0.194525429303049	0.00714134574693186	-0.195640099648577	-0.23917238584555398	-0.168562479769817	-0.19974861319769896	0.132151427092506	-0.261198064105285	-0.21259267766535503	-0.35178557408624395	-0.29202807852435303	-0.22012164589299302	-0.29380025391451503	-0.190488785442234
TCGA.09.2056.01	0.0840428888121641	-0.29718860413068604	0.124894202285231	-0.0719045405291056	-0.0986881502166494	-0.160200458703019	-0.16660639248210998	0.054970615919827	-0.236848656756798	-0.11242904580045501	-0.32638812131378603	-0.222849319322744	-0.157730528028034	-0.27131823952602596	-0.18990689801100302
TCGA.10.0928.01	0.0398287434991948	-0.19968455475629698	-0.13039568345323702	-0.312688964212218	-0.260489747261187	-0.26570096734067	-0.20947910283014398	-0.105208415670696	-0.30390570608113693	-0.320285933301189	-0.38187280642652294	-0.32691957194183197	-0.28492017340983006	-0.33194033008887003	-0.298878544223445
TCGA.10.0936.01	0.0790983933153803	-0.252937964497669	-0.0171921286500212	-0.150849224662945	-0.14665412335269	-0.26279361681263896	-0.10589586385995599	0.0148707190425934	-0.33866003137746103	-0.255622246401649	-0.35557874068440004	-0.28804122351003697	-0.133557250741911	-0.23153829877274598	-0.0568662716885315
TCGA.13.0730.01	0.09696608281345401	-0.239572653543611	-0.0391451544646636	0.0348888051675306	-0.20724284338485396	-0.19631689568908103	-0.0650688654186503	0.10557464099475801	-0.271117723506775	-0.270090657381588	-0.38144327432952396	-0.248185649839774	-0.24930488853391397	-0.35452814219212897	-0.222915785019044
TCGA.13.0799.01	0.0709284434743637	-0.292277614682959	-0.125211595429539	-0.213841442697725	-0.21466738624834697	-0.21841524899490602	-0.22033339233416102	-0.152657819932234	-0.434587442619702	-0.274583646925993	-0.36514891304755004	-0.340486185255399	-0.22844473117789604	-0.264388489208633	-0.16356326703343202
TCGA.13.0800.01	0.0558024311841011	-0.35417220326378496	-0.26306601777401606	-0.21891829388915196	-0.334068758524031	-0.274731332894551	-0.26917350758228303	-0.14680381373208498	-0.307134539298032	-0.337103070146427	-0.45564507310092406	-0.324914613766407	-0.307724261069288	-0.5303639441388069	-0.233601354210749
