	LeukocyteMeth_score	B_cells	Cytotoxic_cells	Dendritic_cells	Endothelial	Eosinophils	Fibroblasts	Macrophages	Macrophages_M1	Macrophages_M2	Mast_cells	Monocytes	NK_cells	Neutrophils	Plasma_cells	T_cells_CD4	T_cells_CD8	T_cells_gamma_delta	T_regulatory_cells
TCGA.04.1348.01	0.150948736257642	0.11609382046554402	0.0151982194207555	0.17787153417519502	-0.0219788315421181	0.163273148025274	-0.0263673864382449	0.30835995643226394	0.26594722405432897	0.263728221507018	0.227799350312762	0.15637171139116401	0.0400874758632986	-0.0427063366125572	0.328188413915575	0.081508271215226	0.0975304127664236	0.0646122442688072	0.111321084954637
TCGA.04.1357.01	0.26794368108652	0.222905476773265	0.14255561279888598	0.264784079680915	0.0183504531607357	0.25433465392061105	0.12083933658076501	0.33543099872875604	0.325180869396846	0.353313364198497	0.31541602895709603	0.23793736147336603	0.20089125900882396	0.0228032878979028	0.392530113106127	0.235108701853358	0.247585085392265	0.21513725662383	0.264070341228531
TCGA.04.1362.01	0.0840705134191117	-0.0533747875571092	-0.31383134361756704	-0.012502514407133998	-0.103149858624385	-0.012369307199815	-0.0807827818442922	0.140036305769293	0.0757239289687772	0.076199061652682	-0.0249225783180604	0.0376497484806762	-0.198247213010562	-0.157238499003097	0.23623712765766397	-0.127952044884133	-0.126696521105372	-0.17325147392422002	-0.171234547808134
TCGA.04.1364.01	0.0334651133520436	-0.242056217710244	-0.4792572417839289	-0.241447461120657	-0.133003326448565	-0.177318889168811	-0.10190933091951199	-0.0410938751381873	-0.120676428081735	-0.0910073362680431	-0.12599569801382002	-0.196706291527746	-0.399216499570985	-0.36128104535633604	0.11750521053322399	-0.29898200981535106	-0.283348749343098	-0.286930584104308	-0.39854735407688296
TCGA.04.1365.01	0.14147110021652498	0.0439921589746366	-0.0591806963492214	0.126953628992205	-0.0354256713188129	0.137608691641291	-0.0237864101032911	0.265739801559032	0.24497139770067397	0.21709724047002799	0.19281831178517497	0.127383301135894	-0.0147523458524917	-0.0298253307949663	0.333373261166846	0.027088429471569	0.0397951194429243	0.0310512694969081	0.039815004315275
TCGA.04.1514.01	0.0377776599134639	-0.22959158722859	-0.501352437020134	-0.21268283596278698	-0.0378483427373675	-0.142562354200259	0.0434642210082384	-0.0545697254436869	-0.116546324643417	-0.165303747791911	-0.25167798797947305	-0.19286173559743602	-0.40757854686892203	-0.33511076682215196	0.133125349010334	-0.287379859929784	-0.273824533270613	-0.316843949366584	-0.378287342147668
TCGA.04.1519.01	0.0203532219944987	-0.149496085721316	-0.37791804587530003	-0.134406590043195	-0.17278291553740804	-0.107328404565893	0.0100171608098998	0.0189865393377599	-0.0518485725691446	-0.0394123144865547	-0.16441840885575798	-0.10913360971700901	-0.315569437521693	-0.265724214640228	0.177770905573317	-0.22395586722944602	-0.20814717718730102	-0.22994372572675198	-0.27163725567034697
TCGA.09.0364.01	0.0555369859994129	-0.19532132070360197	-0.531799891449182	-0.231657068831974	-0.118947739706754	-0.14686384666647198	0.0022273938198034897	-0.0700765989123479	-0.15816162910011802	-0.194295795786071	-0.295821989493797	-0.18727928564277302	-0.451285692607035	-0.363849129709264	0.106533525833228	-0.307669039357742	-0.31205671550593	-0.31754347273547495	-0.43845154514689294
TCGA.09.0366.01	0.27303013571808105	0.19859601473723396	-0.23207771447173997	0.226273857585951	-0.0334326957732015	0.205524019899262	-0.142159387668089	0.36498142084298	0.292102624157927	0.335758713726054	0.0990496386472361	0.35955021761486106	-0.0543852986451632	0.14090661163281198	0.28963755827895804	0.0331104473707423	0.0717151111711128	-0.00659835476423904	-0.0104793908935557
TCGA.09.0367.01	0.0758041481906226	0.0285988439224537	-0.12899699339436999	0.0636801148509332	-0.109726981245017	0.027894466253031002	-0.0799452527291449	0.167576998775789	0.116279115455944	0.15530763987444401	0.0800277519522726	0.0734417004846013	-0.11754838168685099	-0.0793913260927823	0.23793183354513	-0.0564566137079695	-0.0505191314482019	-0.0777410157381644	-0.0995551578832402
