"Method"	"Norm_Res_Adj_pvals_lambda"	"Adj.r.sqr"	"AIC"	"BIC"
"Bindea"	0.00685297992836659	0.683030084234259	-208.592699321585	-111.864593129793
"Davoli"	0.0044790974676845	0.669650779073534	-209.101939765627	-164.458198446338
"Danaher"	0.0111534582488621	0.673418757486033	-208.778923420634	-149.253934994916
"ConsensusTME"	0.102455560762046	0.709828644095771	-241.068272821725	-166.662037289577
"Cibersort"	0.0618182144862031	0.683550452774754	-210.923000682145	-121.635518043568
"MCP"	0.00118326868610351	0.535940234129249	-107.37591732479	-70.1727995587155
"TIMER"	0.854017979736061	0.599399970958501	-154.172242967497	-124.409748754638
"xCell"	0.0822132812869201	0.663168671611925	-180.280051544145	-42.6285158096705
