"Method"	"Norm_Res_Adj_pvals"	"Adj.r.sqr"	"AIC"	"BIC"
"Bindea"	1.53663909819076e-09	0.627297347956464	-994.457537174868	-897.729430983076
"Davoli"	6.60999991961179e-09	0.611862749476701	-995.200218642004	-950.556477322715
"Danaher"	3.59690645055492e-08	0.63160766709635	-1007.30257576232	-947.777587336606
"ConsensusTME"	6.60999991961179e-09	0.665604110531939	-1033.06974051163	-958.663504979482
"Cibersort"	5.10390472997131e-08	0.694860098003453	-1057.28992899682	-968.00244635824
"MCP"	3.08237686574059e-11	0.551523868497515	-953.060998067	-915.857880300926
"TIMER"	0.000193940296092659	0.590979162033466	-983.09437252212	-953.331878309261
"xCell"	4.46204522666055e-08	0.669945910344725	-1021.74632917184	-884.094793437361
