"entrez_id","hgnc_symbol","RG10T17","RG10T18","RG10T19","RG10T5","RG10T7","RG10T8","RG13T10","RG13T11","RG13T122","RG13T13","RG13T14","RG16T1","RG16T3","RG16T5","RG16T9","RG17T13","RG17T14","RG17T19","RG17T6","RG17T7","RG17T9","RG19-T10","RG19-T11","RG19-T7","RG19-T8","RG19-T9","RG1T3","RG1T5","RG1T6","RG1T7","RG20-T10","RG20-T12","RG20-T14","RG20-T8","RG4T1","RG4T2","RG4T3","RG4T4","RG4T5","RG5T12","RG5T13","RG5T14Rep","RG5T15","RG5T16","RG5T17","RG5T22","RG6T12","RG6T13","RG6T16","RG6T3"
"64147","KIF9",6,3,3,3,3,3,5,2,5,4,5,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,3,2,5,5,7,7,1,1,1,1,1,2,3,4,3,3,3,3,6,6,5,8
"64149","C17orf75",3,2,2,2,2,2,2,3,2,2,2,3,3,3,4,4,4,4,2,3,4,2,4,2,2,2,3,3,4,3,2,3,2,4,2,2,2,2,2,2,2,3,3,2,2,3,2,3,4,2
"6415","SELENOW",4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,2,NA,3,3,3,3,3,3,3,3,6,4,2,2,2,3,3,3,3,3,3,4,4,7,5,4,5,5,5,5,5,5
"64151","NCAPG",5,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,1,2,3,3,3,3,3,3,3,3,4,3,4,4,5,4,2,2,2,2,2,2,2,3,3,2,2,3,5,5,5,5
"641515","MGAT4EP",5,5,5,5,4,4,5,2,4,5,4,3,3,3,3,7,7,7,4,5,7,5,4,4,4,4,3,3,5,5,4,4,5,4,4,4,4,4,4,4,4,7,5,5,5,8,2,5,5,6
"641518","LEF1-AS1",4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,3,1,2,3,3,2,3,3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,3,3,3,4,3,4,3,5,2,5,2
"6416","MAP2K4",3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,4,2,3,3,2,3,2,2,2,3,3,4,3,3,5,2,4,2,2,2,2,2,2,2,3,3,2,2,3,2,7,4,6
"641649","TMEM91",4,3,3,3,3,NA,2,3,2,2,2,2,2,2,2,3,3,3,2,3,3,5,5,5,5,5,5,4,7,7,3,2,2,3,3,3,3,3,3,4,4,7,5,4,5,5,5,6,5,5
"64167","ERAP2",3,2,2,2,2,2,4,2,1,2,1,2,2,2,2,4,4,4,2,4,4,2,2,2,2,2,3,3,4,3,2,2,2,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2
"64168","NECAB1",5,5,5,5,4,4,5,2,5,4,5,3,3,3,3,3,3,3,2,2,3,2,3,2,2,2,5,4,4,3,3,5,6,5,3,3,3,3,3,6,6,8,8,6,6,8,NA,NA,NA,6
"64170","CARD9",7,5,5,5,5,4,4,2,5,5,5,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,3,3,4,3,4,4,5,4,2,2,2,2,2,4,4,6,6,4,4,7,8,8,8,8
