,RG10T17,RG10T18,RG10T19,RG10T5,RG10T7,RG10T8,RG13T10,RG13T11,RG13T122,RG13T13,RG13T14,RG16T1,RG16T3,RG16T5,RG16T9,RG17T13,RG17T14,RG17T19,RG17T6,RG17T7,RG17T9,RG19T10,RG19T11,RG19T7,RG19T8,RG19T9,RG1T3,RG1T5,RG1T6,RG1T7,RG20T10,RG20T12,RG20T14,RG20T8,RG4T1,RG4T2,RG4T3,RG4T4,RG4T5,RG5T12,RG5T13,RG5T14,RG5T15,RG5T16,RG5T17,RG5T22,RG6T12,RG6T13,RG6T16,RG6T3
ovct_wes_purity,High,High,High,Low,Low,Low,High,Low,Low,Low,Low,High,Low,High,High,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,High,Low,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High
ovct_wes_purity_val,0.6496,0.6706,0.6695,0.5973,0.5065,0.4551,0.6405,0.6084,0.5633,0.5549,0.465,0.6625,0.6217,0.7377,0.7359,0.569,0.5998,0.801,0.3932,0.3502,0.4936,0.6317,0.5353,0.5905,0.6024,0.6252,0.7017,0.5246,0.8579,0.7423,0.8651,0.808,0.8704,0.8884,0.7183,0.7157,0.6561,0.6437,0.6137,0.6085,0.6065,0.5533,0.5769,0.5763,0.6842,0.7162,0.7929,0.7211,0.792,0.7275
