Well	Case	Label	Site	Habitat	IF_index_file	CD8	FoxP3	CD4FoxP3	CD4	Cell_counts
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	57	304	100	46	810	24680
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	58	129	65	20	382	15869
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	59	325	225	80	895	22960
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	60	378	128	53	793	15649
C04	13	R Ovary Yellow Omentum Blue	ovary	blue	61	602	189	89	1492	44253
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	70	946	450	316	6388	59795
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	71	1104	679	494	8192	71420
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	72	1102	504	343	6724	73994
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	73	791	359	268	5356	44850
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	74	0	0	0	2	33
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	75	651	197	148	3108	30160
C05	13	R Ovary Yellow Omentum Green Right Ovary Green	ovary	yellow	76	373	233	163	2451	26599
C06	16	left ovary blue	ovary	blue	3	632	312	74	869	54120
C06	16	left ovary blue	ovary	blue	4	107	93	32	175	30117
C06	16	left ovary blue	ovary	blue	5	446	309	97	717	34814
C06	16	left ovary blue	ovary	blue	6	85	71	20	170	19872
C06	16	left ovary blue	ovary	blue	7	144	143	60	351	19388
C06	16	left ovary blue	ovary	blue	8	284	245	132	940	29247
C06	16	left ovary blue	ovary	blue	9	14	10	7	103	6497
C06	16	left ovary blue	ovary	blue	10	72	25	18	262	8860
C06	16	left ovary blue	ovary	blue	11	356	202	114	1337	37460
C06	16	left ovary blue	ovary	blue	12	137	106	80	830	38208
C06	16	left ovary blue	ovary	blue	13	257	152	63	544	38922
C06	16	left ovary blue	ovary	blue	14	121	109	68	463	36490
C06	16	left ovary blue	ovary	blue	15	147	86	28	213	36275
C06	16	left ovary blue	ovary	blue	16	127	87	51	386	39241
C06	16	left ovary blue	ovary	blue	17	224	148	43	355	45406
C06	16	left ovary blue	ovary	blue	18	80	65	33	241	27445
C07	16	left ovary orange	ovary	yellow	23	129	58	13	90	18813
C07	16	left ovary orange	ovary	yellow	24	598	279	158	701	15332
C07	16	left ovary orange	ovary	yellow	25	516	231	61	388	59418
C07	16	left ovary orange	ovary	yellow	26	456	122	49	517	25988
C07	16	left ovary orange	ovary	yellow	27	169	31	12	170	8697
C07	16	left ovary orange	ovary	yellow	28	201	41	21	264	14978
C07	16	left ovary orange	ovary	yellow	29	632	121	63	491	9217
C08	16		ovary	nan	nan	nan	nan	nan	nan	nan
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	34	47	102	73	444	22483
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	35	277	236	86	591	53472
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	36	107	152	87	356	20225
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	37	139	125	35	233	40420
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	38	369	204	69	575	55580
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	39	33	61	43	178	19200
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	40	68	97	62	217	30746
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	41	576	297	140	685	37911
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	42	750	359	170	901	30930
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	43	654	291	129	659	22685
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	44	782	315	124	1204	34057
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	45	100	94	32	213	21521
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	46	25	27	14	137	13997
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	47	153	90	37	189	57261
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	48	719	350	142	726	55702
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	49	83	80	48	720	36597
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	50	147	97	58	420	29383
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	51	51	110	71	615	34257
C09	16	right anterior psoas orange pouch of douglas blue	other	blue	52	98	136	82	601	31237
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	57	767	265	89	709	35079
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	58	492	110	55	555	32469
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	59	1199	604	116	798	27591
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	60	683	346	140	556	21738
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	61	237	46	10	134	13941
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	62	539	303	105	357	23513
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	63	300	98	34	132	18024
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	64	326	205	83	249	12873
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	65	79	53	27	103	10978
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	66	268	213	103	390	8660
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	67	194	157	92	261	7594
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	68	486	214	30	496	12025
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	69	496	299	57	419	6671
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	70	149	48	20	123	14461
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	71	154	43	15	145	23283
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	72	52	6	1	82	8042
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	73	114	12	5	177	13982
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	74	104	105	53	305	53185
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	75	167	33	19	371	16850
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	76	172	52	23	256	5846
C10	16	right anterior psoas orange pouch of douglas blue	other	yellow	77	194	157	92	261	7594
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	2	2970	119	56	1553	24485
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	3	830	34	5	236	25248
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	4	68	645	168	217	16447
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	5	292	24	9	345	8603
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	6	72	20	6	70	5474
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	7	643	34	8	369	7534
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	8	184	19	4	81	5667
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	9	1031	95	27	474	19505
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	10	1543	108	53	1143	27512
C11	17	Left Omentum Yellow Right Ovary Blue	omentum	yellow	11	664	39	9	337	8537
C12	17	Left Omentum Blue Sigmoid Serosa Blue p4	omentum	blue	41	1504	273	35	637	43348
C12	17	Left Omentum Blue Sigmoid Serosa Blue p5	omentum	blue	42	429	65	14	173	17709
C12	17	Left Omentum Blue Sigmoid Serosa Blue p6	omentum	blue	43	1552	76	28	713	37823
C12	17	Left Omentum Blue Sigmoid Serosa Blue p7	omentum	blue	44	856	226	22	283	28715
C12	17	Left Omentum Blue Sigmoid Serosa Blue p8	omentum	blue	45	620	49	28	337	19854
C12	17	Left Omentum Blue Sigmoid Serosa Blue p9	omentum	blue	46	911	52	14	324	36488
C12	17	Left Omentum Blue Sigmoid Serosa Blue p10	omentum	blue	47	1210	62	24	667	30303
C12	17	Left Omentum Blue Sigmoid Serosa Blue p11	omentum	blue	48	552	65	29	298	23735
D01	17	Left Omentum Green Sigmoid Serosa green p4	other	green	35	431	79	20	127	17283
D01	17	Left Omentum Green Sigmoid Serosa green p4	other	green	36	517	78	23	148	21756
D01	17	Left Omentum Green Sigmoid Serosa green p4	other	green	37	669	120	53	313	25769
D02	17	Left Omentum Blue Sigmoid Serosa Blue p4	other	blue	52	1648	257	188	2700	23531
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	16	1472	135	39	1831	123995
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	17	1020	105	29	594	105583
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	18	89	5	2	99	30221
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	19	123	23	4	77	28551
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	20	218	19	7	266	27024
D03	17	Left Omentum Yellow Right Ovary Blue	ovary	blue	21	300	34	11	248	49708
