"gene_symbol","gene_symbol.1","r","p","mean_cna","padj"
"PAICS","PAICS",0.65826329951805,1.27897950489236e-05,3.36,0.170718184313033
"CINP","CINP",0.688761001325727,1.31113360516317e-05,4,0.174997002281128
"ZNF148","ZNF148",0.657542883096369,1.31712247443873e-05,4.5,0.175783165438593
"GINS2","GINS2",0.657494759052657,1.31970694539077e-05,2.9,0.176114891862398
"EIF4EBP1","EIF4EBP1",0.688543281560788,1.32276913631462e-05,5.54347826086957,0.176510313549823
"COX11","COX11",0.657273604016012,1.33164336724623e-05,3.42,0.177681174491664
"SENP2","SENP2",0.655810942922091,1.41309329086854e-05,5.8,0.188534906867681
"RLF","RLF",0.695118879399859,1.42658984658936e-05,4.66666666666667,0.190321351433487
"ORM2","ORM2",0.655005968662702,1.45982798463036e-05,3.38,0.19474105314969
"SMARCC1","SMARCC1",0.654332903657674,1.49997874032512e-05,3.12,0.200082164171968
"CDC25A","CDC25A",0.702606167295776,1.50037432048763e-05,3.06818181818182,0.20011992686664
"NDUFB4","NDUFB4",0.654115434226981,1.51316464135669e-05,4.56,0.201810768217742
"CPSF6","CPSF6",0.653272144121723,1.5652991196474e-05,4.24,0.208748290596177
"GKAP1","GKAP1",0.65312442638587,1.57459774323037e-05,3.38,0.20997260905977
"WBP11","WBP11",0.652531687372391,1.61241712648723e-05,5.04,0.214999699645807
"PARP1","PARP1",0.652521373926711,1.61308241784828e-05,4.16326530612245,0.215072278771711
"SMO","SMO",0.65236707870305,1.62306540955676e-05,3.92,0.216387080402108
"REXO4","REXO4",0.65231225130133,1.62662627801367e-05,3.54,0.216845549122002
"RANBP1","RANBP1",0.659136933765465,1.66382687911123e-05,3.3469387755102,0.221788122985528
"GRSF1","GRSF1",0.651435651826012,1.68453167302692e-05,3.46,0.224531226697758
"CTDSPL2","CTDSPL2",0.650877204870286,1.72239147005755e-05,2.52,0.22956033512927
"SEC61A1","SEC61A1",0.65825194475661,1.72338801101786e-05,4.55102040816327,0.22967592022835
"BRF2","BRF2",0.649070435252639,1.85024104067224e-05,5.18,0.246563121079983
"RNF25","RNF25",0.649019652560935,1.85395592061726e-05,3.96,0.24703962642225
"TM2D2","TM2D2",0.648548464657342,1.88874904146524e-05,5.26,0.251656922284829
"ERLIN2","ERLIN2",0.679589743997407,1.89019976946455e-05,4.78048780487805,0.251831315285762
"HLTF","HLTF",0.648029155731314,1.92778186355518e-05,5.38,0.256819099862821
"YIF1A","YIF1A",0.647517626500949,1.96694494417713e-05,3.78,0.262016736013836
"EIF2S2","EIF2S2",0.654293339841027,2.01421500140205e-05,4.79591836734694,0.268293438186754
"CHEK1","CHEK1",0.646559858019555,2.04222148572928e-05,2.81632653061224,0.272003479684283
"RAVER2","RAVER2",0.645847503604618,2.09989589633158e-05,4.02,0.27966413547344
"LIN7C","LIN7C",0.64552733501768,2.12629627748862e-05,3.38,0.283158875273159
"H2AFV","H2AFV",0.645214719293318,2.15236431842169e-05,3.52,0.286608832641032
"SETD2","SETD2",0.645038402185264,2.16719450705768e-05,3.08,0.28856194861473
"CCDC59","CCDC59",0.644638358045856,2.20118722786296e-05,3.26,0.293066067517674
"XRCC5","XRCC5",0.644418008802587,2.22011689978835e-05,3.76,0.295564162868823
"TARBP2","TARBP2",0.644033758505451,2.25348082074493e-05,4.24,0.299983366857565
"RRAGD","RRAGD",0.64392883733106,2.26266975121818e-05,3.9,0.301183970584652
"RPAP3","RPAP3",0.643792734753463,2.2746402063116e-05,3.95744680851064,0.302754611460074
"SPAG16","SPAG16",0.674447644144951,2.30760324178354e-05,3.69565217391304,0.307118915448972
"SAMM50","SAMM50",0.64309650909085,2.33677851033191e-05,2.28,0.31097848415497
"ZBTB2","ZBTB2",0.642701830855329,2.37268403103973e-05,3.62,0.315733064010456
"MARS","MARS",0.64238169160903,2.40217542429633e-05,3.93478260869565,0.319633461956869
"RPS6KA5","RPS6KA5",0.642178889350841,2.42102938692089e-05,3.58,0.322117959929825
"C17orf80","C17orf80",0.641981245669712,2.43953288211513e-05,3.38,0.324555454636597
"ADSSL1","ADSSL1",0.641446331150619,2.49025732780724e-05,4.44,0.331278932318197
"OSTM1","OSTM1",0.647920165808559,2.57696682892896e-05,4.04081632653061,0.34278812758413
"SEL1L","SEL1L",0.640290127911574,2.60318165116775e-05,3.58,0.346249191421822
"GPRC5B","GPRC5B",0.639474617819385,2.68560345785041e-05,3.76,0.357185259894104
"HDDC2","HDDC2",0.638704555020392,2.76559754621784e-05,3.82,0.367796817671511
"PGAP1","PGAP1",0.638104433424048,2.82942966804966e-05,3.88,0.376257557257244
"MAGOH","MAGOH",0.637907263490462,2.85069147182641e-05,4.22,0.379056445008758
"SP3","SP3",0.645050803981088,2.87400341732579e-05,4.06122448979592,0.382127494367637
"MAP3K4","MAP3K4",0.637684993675914,2.87483356488495e-05,3.78,0.382209122451454
"AGPAT2","AGPAT2",0.637213364571576,2.92667524118208e-05,4.42,0.389072206562746
"ERCC4","ERCC4",0.637145528081634,2.93420118100409e-05,3.18,0.390043362990874
"TGS1","TGS1",0.659802456828095,2.95342314412561e-05,4.23255813953488,0.392569004317176
"SLC30A1","SLC30A1",0.636830075354957,2.96942929606812e-05,3.7,0.394666847740414
"MAPK1","MAPK1",0.66695339922467,3.0653293688803e-05,3.34782608695652,0.407382273124192
"C1GALT1","C1GALT1",0.643146371469467,3.0879145172491e-05,3.02040816326531,0.410352960197233
"DHX40","DHX40",0.666694957032811,3.09505510577696e-05,3.52380952380952,0.411270922455643
"HSDL1","HSDL1",0.632611405726064,3.4788675053975e-05,2.9,0.462237125442166
"WASL","WASL",0.632025381777184,3.55557481548958e-05,3.96,0.472393669985945
"STIP1","STIP1",0.67133330985022,3.56202699884339e-05,3.56818181818182,0.473215286796345
"ZNF568","ZNF568",0.64679692802079,3.57706981733031e-05,5,0.475177954534158
"ARL6IP1","ARL6IP1",0.631376469815154,3.64229877317582e-05,3.18,0.483806546040945
"NSL1","NSL1",0.630952849474938,3.69994249139226e-05,3.7,0.49142636170672
"TNFSF10","TNFSF10",0.630634410212713,3.74381638261354e-05,6,0.497216253774904
"STAM2","STAM2",0.630141384058948,3.81267447807218e-05,3.72,0.506323170687986
"WDR54","WDR54",0.629492104402702,3.90510485963009e-05,4.42,0.51855887431028
"NDUFA5","NDUFA5",0.629270601159227,3.93709880064623e-05,3.96,0.522767978749806
"PRPF38A","PRPF38A",0.629270482262751,3.93711603759731e-05,4.22,0.522767978749806
"MKLN1","MKLN1",0.643838364603681,3.9879338812876e-05,3.9375,0.529438102079742
"GPR19","GPR19",0.628841549468593,3.99974695598832e-05,4.84,0.530966408407449
"COL8A1","COL8A1",-0.628693928905476,4.02150960649029e-05,4.46,0.533815185165521
"RBM25","RBM25",0.628463560362143,4.05568543191207e-05,3.26,0.538311127377689
"SEPHS1","SEPHS1",0.627073141803197,4.26759996350263e-05,3.44,0.566395867156069
"LSG1","LSG1",0.626601266018921,4.34176465392233e-05,5.2,0.576195587222032
"SACM1L","SACM1L",0.626582177832907,4.34478913792934e-05,3.08,0.576553518603223
"POLB","POLB",0.674460470813412,4.3677678931399e-05,5.23076923076923,0.579559121740733
"SAP18","SAP18",0.626338062338424,4.38363719745394e-05,2.98,0.581620983358189
"WDR61","WDR61",0.626066709180312,4.42718845607809e-05,3.48,0.587355092467881
"NCKAP1","NCKAP1",0.625525155688994,4.51527827052161e-05,4.06,0.598996815367397
"PINX1","PINX1",0.624856853045574,4.62616975893874e-05,2.38,0.613661418523224
"YY1","YY1",0.623507751578675,4.85756510152891e-05,3.74,0.644307435066795
"TWF1","TWF1",0.623217873265156,4.90863023389002e-05,4.16,0.651031627920833
"BAG5","BAG5",0.622929152543234,4.95997350986421e-05,4.3,0.657791686878192
"UHRF2","UHRF2",0.622745497022218,4.99288521070088e-05,3.76,0.662106507791044
"KCNT1","KCNT1",0.622570883356913,5.02435957547342e-05,3.78,0.666230079707775
"TMEM33","TMEM33",0.629757308777981,5.04688870573837e-05,3.40816326530612,0.669166973493851
"SUPT16H","SUPT16H",0.621182369273296,5.28109805845732e-05,3.68,0.700167980590272
"SLC25A1","SLC25A1",0.628358205544257,5.30574152507257e-05,3.24489795918367,0.703382153978871
"ERAL1","ERAL1",0.620688486221716,5.37523876157363e-05,2.89795918367347,0.7125416502342
"RHEB","RHEB",0.620064157407451,5.49641387491552e-05,4.24,0.728549659120053
"NCAPH2","NCAPH2",0.619731172949599,5.56204688425902e-05,2.16,0.737193694039691
"TMEM135","TMEM135",0.618748066300539,5.75997581508367e-05,4.02,0.763369594773038
"CENPF","CENPF",0.625922209735767,5.78517111822679e-05,3.6734693877551,0.766650876587414
"TMEM39A","TMEM39A",0.618250213730301,5.86261646367744e-05,4.9,0.776855307601898
"HIST3H2A","HIST3H2A",0.618229573528864,5.86690723845524e-05,4.16,0.777365209095319
"UCK1","UCK1",0.666076405334999,5.87617942031424e-05,3.25,0.778535011397434
"PFKFB4","PFKFB4",0.665958603087989,5.90033617083746e-05,3.06818181818182,0.781676535912547
"SLC38A1","SLC38A1",0.617928405809288,5.9298388507026e-05,4.28,0.785525752552574
"BUD31","BUD31",0.617697539326146,5.97849261913149e-05,3.54,0.791911132330157
"LSM8","LSM8",0.648205148895456,6.03151286512483e-05,3.80434782608696,0.798873878985783
"MCM2","MCM2",0.617336271359322,6.05535173714168e-05,4.5,0.801970784067044
"CDH6","CDH6",-0.624350520817137,6.11488893842868e-05,4,0.80979474211611
"PEX3","PEX3",0.616457419676072,6.24606613475064e-05,3.74,0.82710407756368
"PFDN4","PFDN4",0.646983149197465,6.29362276426007e-05,5.26086956521739,0.833338590215676
"MRPS11","MRPS11",0.646759452658455,6.34269543976018e-05,4.08695652173913,0.839772876224248
"VTA1","VTA1",0.615668438336896,6.42188136619333e-05,3.74,0.850192874070334
"TMEM38B","TMEM38B",0.615398801086707,6.48298367289907e-05,3.66,0.858217378618378
"C6orf120","C6orf120",0.615087930957965,6.5540808749094e-05,3.84,0.867563685411758
"EZH2","EZH2",0.614040563147413,6.79882973643144e-05,4.58,0.899893103914066
"IMPAD1","IMPAD1",0.628823655658348,6.80633590582926e-05,3.91666666666667,0.900818557136503
"TMEM128","TMEM128",0.636450661207677,6.84834118713306e-05,2.93617021276596,0.906309472705189
"TTC27","TTC27",0.61324674753594,6.98979185569091e-05,4.1,0.924959156263578
"QRICH1","QRICH1",0.613197480793084,7.00180158884576e-05,3.06,0.926478386236071
"PPP2R5C","PPP2R5C",0.63448245157497,7.32834601540427e-05,3.80851063829787,0.969613461298139
"FOXN3","FOXN3",0.61182379479119,7.34425525858189e-05,3.58,0.971644970710384
"ZNF14","ZNF14",0.618690095448445,7.44754683477547e-05,4.58695652173913,0.985235970772447
"DDX49","DDX49",0.610672683106813,7.64278114511768e-05,4.98,1
"RPAP2","RPAP2",0.610107406284493,7.79334847066319e-05,3.94,1
"AK3","AK3",0.61007911727856,7.80095335662846e-05,3.58,1
"NDUFAB1","NDUFAB1",0.609541084065668,7.94687204927875e-05,3.88,1
"INSIG1","INSIG1",0.609471808957328,7.96583777005543e-05,4.14,1
"LIN9","LIN9",0.609347626669752,7.99993784891733e-05,4.16326530612245,1
"FAM120B","FAM120B",0.609192947520337,8.04259635843315e-05,3.84,1
"CCNK","CCNK",0.609154195335362,8.05331579354922e-05,3.74,1
"NOD2","NOD2",-0.608160519616665,8.33262034124311e-05,2.72,1
"CHRNA5","CHRNA5",0.615346929303249,8.35239085955351e-05,3.44897959183673,1
"MASTL","MASTL",0.607879005730892,8.41332089660095e-05,4.14,1
"ZNF397","ZNF397",0.607627599157025,8.48598560377907e-05,3.48,1
"CCNB2","CCNB2",0.607493979986967,8.52483573106729e-05,3.22,1
"ATP11B","ATP11B",0.607018602800982,8.66435633212127e-05,5.98,1
"PARP2","PARP2",0.606975410272273,8.67713454488779e-05,3.62,1
"SDHB","SDHB",0.621534895238061,8.73586865077159e-05,3.77083333333333,1
"BTBD1","BTBD1",0.606301763852894,8.87863900751706e-05,3.74,1
"NCAPD2","NCAPD2",0.605519163136449,9.11802337196907e-05,4.66,1
"MRPL11","MRPL11",0.627979896410658,9.13650461609546e-05,3.82978723404255,1
"H1FX","H1FX",0.604809611763975,9.34007365301148e-05,4.52,1
"C1QTNF3","C1QTNF3",-0.604451747354022,9.45390345320605e-05,3.96,1
"ZNF667","ZNF667",0.619050669374072,9.49801593767195e-05,3.60416666666667,1
"H3F3A","H3F3A",0.603236880904152,9.8497133303578e-05,4.16326530612245,1
"QRSL1","QRSL1",0.610391735305715,9.87612974510239e-05,4.24489795918367,1
"PKIB","PKIB",0.603016114935747,9.92322187397139e-05,3.82,1
"LYRM7","LYRM7",0.602980965517415,9.93497107912971e-05,3.02,1
"ZCRB1","ZCRB1",0.602085169474994,0.000102386646286939,4.16,1
"THYN1","THYN1",0.601142098264661,0.00010567394858676,2.5,1
"GPBP1","GPBP1",0.607858975576657,0.000107477311410619,2.79591836734694,1
"INTS5","INTS5",0.600361477187741,0.00010846653951979,3.62,1
"SNAPC4","SNAPC4",0.600279342776359,0.00010876419544334,3.78,1
"CWC15","CWC15",0.600153075944523,0.000109223221881672,3.3,1
"ASB7","ASB7",0.599868326391227,0.000110264797995208,3.93333333333333,1
"RAB36","RAB36",0.599765774719224,0.000110642102477251,3.26,1
"ZSWIM7","ZSWIM7",0.599435097978933,0.000111866644245419,2.64,1
"FAM32A","FAM32A",0.599237432571543,0.000112604438023245,5.04,1
"C6orf106","C6orf106",0.60599488415985,0.000114327456065101,4.52083333333333,1
"ACAD11","ACAD11",0.59861926948329,0.000114940103386003,4.52,1
"TIMM50","TIMM50",0.597411077498063,0.000119631392448704,4.94,1
"S100A14","S100A14",-0.597266453260438,0.000120204343675121,4.76,1
"DNAJC9","DNAJC9",0.596556860679213,0.000123051431431761,3.66,1
"MYO3A","MYO3A",0.596336810976422,0.000123946572698046,4.04255319148936,1
"NOL11","NOL11",0.596120004715722,0.000124834243325428,3.32,1
"LZTFL1","LZTFL1",0.59577754438149,0.00012624803221178,3.08,1
"GCLC","GCLC",0.602308665576329,0.000129039602007079,3.79591836734694,1
"AMD1","AMD1",0.602249797617804,0.000129287739153412,4.26530612244898,1
"GTPBP4","GTPBP4",0.594870452089342,0.000130062650716894,4.08,1
"SFRP1","SFRP1",0.609426329072967,0.000130468054087766,5.43478260869565,1
"KLHL23","KLHL23",0.632682365962281,0.000133958411987391,4.04444444444444,1
"AKT2","AKT2",0.593763611085249,0.000134857468682187,3.82,1
"MARK3","MARK3",0.593762342646613,0.000134863053485213,4.3,1
"TSPAN3","TSPAN3",0.593469499765299,0.000136157988585464,3.4,1
"NEXN","NEXN",-0.6236560485685,0.000136995576993619,4.06666666666667,1
"TCEA1","TCEA1",0.599696701749221,0.000140470447688019,4.61224489795918,1
"CEBPG","CEBPG",0.631147036664112,0.000140678073246503,4.26666666666667,1
"WIPI2","WIPI2",0.591796011617596,0.000143774837708756,3.02,1
"STYX","STYX",0.591724524212345,0.000144108573762763,3.44,1
"UQCRFS1","UQCRFS1",0.676863712066149,0.000146351224437463,4.39393939393939,1
"SLC33A1","SLC33A1",0.590594170757067,0.000149478917097991,5.44,1
"THUMPD3","THUMPD3",0.589822062227484,0.000153249860759147,3.7,1
"SPAST","SPAST",0.589675528337114,0.000153975096030494,4.1,1
"KLHL18","KLHL18",0.589669729128192,0.00015400386116077,3.12,1
"SKAP1","SKAP1",0.589621578630684,0.000154242882832384,2.96,1
"ANAPC13","ANAPC13",0.603862661012469,0.000156022475327831,4.75555555555556,1
"PSMD5","PSMD5",0.619238045715939,0.000157638317814101,3.60869565217391,1
"EDF1","EDF1",0.588762564751483,0.000158563441496815,4.42,1
"NUDT5","NUDT5",0.60315345209257,0.000159582770667348,3.22916666666667,1
"SNAP29","SNAP29",0.588545109898423,0.000159674262260949,3.32,1
"ZNF256","ZNF256",0.588515994792872,0.000159823519591105,3.56,1
"LMTK2","LMTK2",0.588168844497879,0.000161612846909476,3.54,1
"STMN1","STMN1",0.595256915252394,0.000161999449191417,3.46938775510204,1
"RAB13","RAB13",-0.5878919842555,0.000163052745046374,4.7,1
"SASS6","SASS6",0.587481641491396,0.000165208049522357,3.86,1
"POLH","POLH",0.587260208930108,0.000166381705250561,4.4,1
"RPS27L","RPS27L",0.587081733498683,0.000167333117041216,3.26,1
"PSMD3","PSMD3",0.586817346086523,0.000168751481935338,2.88,1
"EMG1","EMG1",0.625241234816181,0.000169412854425746,4.36363636363636,1
"PARP11","PARP11",0.593739849139305,0.000170007006158057,4.85714285714286,1
"MMP19","MMP19",-0.593716637425687,0.000170132231896635,4.24489795918367,1
"BBS5","BBS5",0.624530858769506,0.00017319904961169,4.04444444444444,1
"USP7","USP7",0.585506200982483,0.000175946121249931,3.28,1
"HEBP2","HEBP2",0.584577293678292,0.00018120861872317,3.84,1
"PHF10","PHF10",0.584005291014108,0.000184518979931707,3.84,1
"CCT2","CCT2",0.58394747259671,0.000184856593503059,4.24,1
"SLC44A5","SLC44A5",0.591048279164582,0.000185090997565825,4.10204081632653,1
"SMARCD3","SMARCD3",0.583835104074271,0.000185514321493314,4.24,1
"AURKB","AURKB",0.583825867433281,0.000185568479676788,2.92,1
"DNAJA1","DNAJA1",0.583696634551759,0.000186327713261597,3.34,1
"PAPOLA","PAPOLA",0.583442941733538,0.000187826247358466,3.78,1
"TCP1","TCP1",0.590570806812778,0.000187888597560304,3.71428571428571,1
"FNBP1L","FNBP1L",0.582929042563679,0.00019089495713811,3.94,1
"TRAP1","TRAP1",0.582502104658561,0.000193478493005157,2.82,1
"API5","API5",0.582075050270373,0.000196094053901952,3.56,1
"CFTR","CFTR",0.61159618269874,0.000199966851172379,3.80434782608696,1
"LDHB","LDHB",0.581401138402577,0.000200286057264175,5.14,1
"KIAA1549","KIAA1549",0.580781688314363,0.000204209954578983,4.18,1
"BANF1","BANF1",0.580696667625049,0.00020475385992793,3.94,1
"HOXB7","HOXB7",0.61059971733607,0.00020617306263339,2.93478260869565,1
"TOMM34","TOMM34",0.580194367542055,0.000207993817604807,4.86,1
"EFTUD2","EFTUD2",0.579857608743172,0.000210191643830074,2.76,1
"SIRT5","SIRT5",0.609919329412372,0.000210508607276104,3.76086956521739,1
"PPM1G","PPM1G",0.579471780061698,0.000212735282916858,3.98,1
"CCDC77","CCDC77",0.626277778220643,0.000213754169889394,5.13953488372093,1
"GINS4","GINS4",0.608914869891818,0.000217057563359769,5.41304347826087,1
"SENP6","SENP6",0.57854571660524,0.000218953410916519,4.1,1
"SRP9","SRP9",0.578528213243246,0.000219072490158803,4.16,1
"TSPYL4","TSPYL4",0.578120464824613,0.000221862961516467,3.9,1
"KRR1","KRR1",0.577777106860108,0.000224237417507803,3.52,1
"FBXL13","FBXL13",0.577530833496317,0.000225954485732199,4.02040816326531,1
"BCCIP","BCCIP",0.57752825434744,0.000225972530220463,3.06,1
"MRPL23","MRPL23",0.576807586010184,0.00023106539581106,2.56,1
"RPS6KC1","RPS6KC1",0.576751766359207,0.000231464121530861,3.7,1
"GTF2F1","GTF2F1",0.576724561314138,0.000231658673287119,2.54,1
"PSMD12","PSMD12",0.576385438349562,0.000234096166394626,3.32,1
"NGRN","NGRN",0.576066531020363,0.00023640928160123,4.12,1
"ST6GALNAC3","ST6GALNAC3",0.575877555884287,0.000237789601462152,4.06,1
